0041A03001,-125.935,356175.672,165.310,
0041A03002,-126.040,356175.457,165.308,
0041A03003,-126.217,356175.375,165.320,
0041A03004,-126.460,356175.435,165.314,
0041A03005,-126.606,356175.590,165.296,
0041A03006,-126.625,356175.798,165.306,
0041A03007,-126.563,356175.973,165.322,
0041A03008,-126.426,356176.100,165.322,
0041A03009,-126.221,356176.130,165.320,
0041A03010,-126.028,356176.070,165.319,
0041A03011,-125.909,356175.944,165.317,
0041A03012,-125.906,356175.757,165.324,GR
0041B03001,-126.445,356175.923,165.040,GR
0041B03002,-126.506,356175.712,165.086,GR
0041B03003,-126.486,356175.569,165.098,GR
0041B03004,-126.304,356175.481,165.069,GR
0041B03005,-126.183,356175.558,165.074,GR
0041B03006,-126.079,356175.638,165.055,GR
0041B03007,-126.087,356175.784,165.039,GR
0041B03008,-126.171,356175.929,165.045,GR
0041B03009,-126.260,356176.052,165.073,GR
0041B03010,-126.377,356175.997,165.056,GR
0041A01001,-126.247,356175.890,165.028,GR
0041A01002,-126.425,356175.621,165.075,GR
0041A01003,-126.241,356175.656,165.067,GR
0042A03001,-126.211,356175.864,165.032,VF
0042A03002,-126.348,356175.803,165.027,VF
0042A03003,-126.390,356175.698,165.040,VF
0042A03004,-126.366,356175.550,165.044,VF
0042A03005,-126.245,356175.551,165.063,VF
0042A03006,-126.159,356175.607,165.044,VF
0042A03007,-126.093,356175.740,165.040,VF
0042A03008,-126.162,356175.836,165.028,VF
0042A03009,-126.282,356175.848,165.026,VF
0042A01001,-126.111,356175.703,165.051,VF
0028A03001,-125.651,356175.943,165.292,VF
0028A03002,-125.466,356176.092,165.307,VF
0028A03003,-125.519,356176.480,165.304,VF
0028A03004,-125.729,356176.753,165.296,VF
0028A03005,-126.050,356176.795,165.317,VF
0028A03006,-126.294,356176.661,165.312,VF
0028A03007,-126.461,356176.470,165.310,VF
0028A03008,-126.321,356176.117,165.322,VF
0028A03009,-126.117,356176.102,165.314,VF
0028A03010,-125.979,356176.031,165.310,VF
0028A03011,-125.883,356175.901,165.312,VF
0028A01001,-125.685,356176.514,165.306,VF
0028A01002,-126.130,356176.481,165.318,VF
0028A01003,-125.850,356176.157,165.306,VF
0032A03001,-128.727,356177.972,165.367,VF
0032A03002,-128.498,356178.309,165.394,VF
0032A03003,-128.319,356178.515,165.414,VF
0032A03004,-127.838,356178.832,165.437,VF
0032A03005,-127.416,356178.792,165.412,VF
0032A03006,-127.246,356178.649,165.393,VF
0032A03007,-127.142,356178.161,165.355,VF
0032A03008,-127.026,356177.706,165.354,VF
0032A03009,-127.264,356177.438,165.372,VF
0032A03010,-127.599,356177.284,165.379,VF
0032A03011,-128.052,356177.330,165.385,VF
0032A03012,-128.558,356177.571,165.370,VF
0032A03013,-128.746,356177.756,165.367,VF
0032A01001,-128.345,356177.714,165.356,VF
0032A01002,-127.599,356177.642,165.381,VF
0032A01003,-128.023,356178.106,165.382,VF
0032A01004,-127.726,356178.506,165.431,VF
0043A03001,-126.666,356177.328,165.334,GR
0043A03002,-126.869,356177.408,165.350,GR
0043A03003,-127.008,356177.609,165.363,GR
0043A03004,-127.039,356177.764,165.336,GR
0043A03005,-126.919,356177.898,165.373,GR
0043A03006,-126.715,356177.962,165.360,GR
0043A03007,-126.573,356177.920,165.344,GR
0043A03008,-126.471,356177.732,165.344,GR
0043A03009,-126.531,356177.506,165.318,GR
0043A03010,-126.685,356177.315,165.334,GR
0043B33001,-126.791,356177.363,165.199,GR
0043B33002,-126.914,356177.479,165.211,GR
0043B33003,-126.952,356177.716,165.211,GR
0043B33004,-126.857,356177.895,165.223,GR
0043B33005,-126.684,356177.979,165.223,GR
0043B33006,-126.570,356177.840,165.222,GR
0043B33007,-126.498,356177.658,165.217,GR
0043B33008,-126.555,356177.451,165.211,GR
0043B33009,-126.657,356177.376,165.217,GR
0043A01001,-126.779,356177.579,165.163,GR
0043A01002,-126.728,356177.794,165.204,GR
0044A03001,-126.340,356175.595,165.073,PL
0044A03002,-126.375,356175.750,165.057,PL
0044A03003,-126.288,356175.847,165.014,PL
0044A03004,-126.112,356175.858,165.020,PL
0044A03005,-126.065,356175.686,165.038,PL
0044A03006,-126.122,356175.570,165.038,PL
0044A03007,-126.223,356175.551,165.070,PL
0044A03008,-126.345,356175.615,165.067,PL
0044B03001,-126.203,356175.745,164.639,PL
0044B03002,-126.121,356175.647,164.659,PL
0044B03003,-126.188,356175.582,164.667,PL
0044B03004,-126.233,356175.610,164.679,PL
0044B03005,-126.307,356175.632,164.681,PL
0044B03006,-126.302,356175.694,164.676,PL
0044B03007,-126.258,356175.733,164.673,PL
0044A01001,-126.224,356175.626,164.651,PL
0040A02001,-133.928,356177.423,165.332,IF
0040A02002,-134.355,356176.931,165.338,IF
0040A02003,-134.855,356176.325,165.335,IF
0040A02004,-135.300,356175.774,165.260,IF
0040A02005,-135.657,356175.975,165.289,IF
0040A02006,-135.985,356176.314,165.322,IF
0040A02007,-135.901,356176.309,165.229,IF
0040A02008,-135.357,356177.130,165.229,IF
0040A02009,-134.880,356177.953,165.250,IF
0040B02001,-134.006,356177.410,165.162,IF
0040B02002,-134.421,356176.987,165.169,IF
0040B02003,-134.802,356176.487,165.231,IF
0040B02004,-135.120,356176.130,165.233,IF
0040B02005,-135.345,356175.832,165.207,IF
0040B02006,-135.694,356176.063,165.181,IF
0040B02007,-135.896,356176.310,165.224,IF
0040A01001,-135.672,356176.361,165.230,IF
0040A01002,-135.129,356176.470,165.233,IF
0040A01003,-135.177,356177.150,165.211,IF
0040A01004,-134.432,356177.495,165.176,IF
0045A03001,-129.800,356174.882,165.254,GR
0045A03002,-130.158,356174.944,165.263,GR
0045A03003,-130.304,356175.094,165.275,GR
0045A03004,-130.292,356175.463,165.287,GR
0045A03005,-130.114,356175.952,165.331,GR
0045A03006,-130.027,356176.279,165.350,GR
